L1,L2
he,han
He,Han
his,hans
she,hun
She,Hun
her,hennes
it,det
they,de
I,jeg
an,en
An,En
a,en
a,et
A,En
the,den
The,Den
are,er
is,er
on,pa
in,i
at,om
from,fra
over,over
bear,bjørn
bird,fugl
butterfly,sommerfugl
cat,katt
cow,ku
dog,hund
fish,fisk
frog,frosk
girl,jente
horse,hest
mouse,mus
squirrel,ekorn
carry,bære
carries,bærer
wear,ha på seg
wears,har på seg
rain,regn
Rain,Regn
hold,holde
holds,holder
baby,babyen
boy,gutten
cloud,skyen
moon,månen
star,stjerne
stars,stjernene
train,toget
wind,vind
bake,bake
bakes,baker
brush,børste
brushes,børster
climb,klatre
climbs,klatrer
draw,tegne
draws,tegner
make,lage
makes,lager
read,lese
reads,leser
ride,sykler
rides,sykler
tie,knyte
ties,knyter
wash,vaske
washes,vasker
comb,gre
combs,grer
cut,klippe
cuts,klipper
drink,drikke
drinks,drikker
eat,spise
eats,spiser
feed,mate
feeds,mater
paint,male
paints,maler
plant,plante
plants,planter
play,spille
plays,spiller
sew,sy
sews,syr
water,vanne
waters,vanner
catch,fange
catches,fanger
fly,fly
flies,flyr
sit,sitte
sits,sitter
sleep,sove
sleeps,sover
graze,gresse
grazes,gresser
run,løpe
runs,løper
swim,svømme
swims,svømmer
float,flyte
floats,flyter
sing,synge
sings,synger
jump,hoppe
jumps,hopper
hide,gjemme
hides,gjemmer
find,finne
finds,finner
green,grønn
blue,blå
fall,falle
falls,faller
pink,rosa
cry,gråte
kick,sparke
kicks,sparker
cover,dekke
covers,dekker
shine,skinne
shines,skinner
twinkle,blinke
travel,reise
travels,reiser
blow,blåse
blows,blåser
cake,kake
teeth,tennene
stair,trapp
stairs,trappene
circle,sirkel
kite,drage
book,bok
bicycle,sykkel
shoe,sko
shoes,skoene
car,bilen
hair,håret
ribbon,bånd
milk,melk
orange,appelsin
duck,endene
ducks,endene
picture,bilde
tree,tre
piano,piano
dress,kjole
garden,hagen
rabbit,kanin
sky,himmelen
flower,blomst
sofa,sofa
meadow,eng
park,parken
lake,innsjøen
pond,dam
song,sang
fence,gjerde
hole,hull
nut,nøtt
bag,veske
hat,hatt
roof,taket
umbrella,paraply
happily,lykkelig
ball,ball
sun,solen
brightly,klart
night,natt
fast,raskt
leaves,blader
laugh,le
laughs,ler
up,opp
x,x
X,X
xx,xx
xxx,xxx
