Participant,Style,Word-Recall,Words-Max,Seen-Sentence-Recall,Seen-Sentences-Max,Unseen-Sentence-Recall,Unseen-Sentences-Max
p1001,S1,2,7,4,7,3,6
p1001,S2,1,7,3,7,2,6
p1001,W1,4,7,5,7,4,6
p1001,W2,2,7,2,7,4,6
p1002,S1,4,7,5,7,3,6
p1002,S2,4,7,5,7,3,6
p1002,W1,2,7,1,7,3,6
p1002,W2,4,7,7,7,4,6
p1003,S1,3,7,7,7,4,6
p1003,S2,4,7,5,7,5,6
p1003,W1,2,7,5,7,3,6
p1003,W2,4,7,5,7,3,6
p1004,S1,2,7,3,7,1,6
p1004,S2,2,7,4,7,2,6
p1004,W1,0,7,1,7,0,6
p1004,W2,1,7,5,7,1,6
